sample_id,query,asv_read_index,asv_read_raw,asv_pa,terrestrial,holoplankton
GH001,ASV992,0,0,0,0,1
GH001,ASV996,0,0,0,0,0
GH001,ASV1003,0,0,0,0,1
GH001,ASV1006,0,0,0,0,0
GH001,ASV1027,0,0,0,0,0
GH001,ASV1036,0,0,0,0,0
GH001,ASV1040,0,0,0,0,1
GH001,ASV1043,0,0,0,0,1
GH001,ASV1045,0,0,0,0,1
GH001,ASV1048,0,0,0,0,1
GH001,ASV1056,0,0,0,0,0
GH001,ASV1072,0,0,0,0,1
GH001,ASV1086,0,0,0,0,0
GH001,ASV1087,0,0,0,0,1
GH001,ASV1088,0.6535480375482497,355,1,0,1
GH001,ASV1089,0,0,0,0,1
GH001,ASV1092,0,0,0,0,1
GH001,ASV1094,0,0,0,0,0
GH001,ASV1099,0,0,0,0,1
GH001,ASV1104,0,0,0,0,1
GH001,ASV1115,0.20754432229269393,123,1,0,1
GH001,ASV1120,1,180,1,0,0
GH001,ASV1121,0,0,0,0,1
GH001,ASV1126,0,0,0,0,1
GH001,ASV1127,0,0,0,0,0
GH001,ASV1131,0.2631435400131423,211,1,0,1
GH001,ASV1136,0,0,0,0,0
GH001,ASV1137,0,0,0,0,0
GH001,ASV1145,0,0,0,0,0
GH001,ASV1150,0,0,0,0,0
GH001,ASV1156,0,0,0,0,0
GH001,ASV1168,0,0,0,0,0
GH001,ASV1173,0,0,0,0,1
GH001,ASV1184,0,0,0,0,0
GH001,ASV1188,0,0,0,0,1
GH001,ASV1201,0,0,0,0,1
GH001,ASV1202,0,0,0,0,1
GH001,ASV1209,1,766,1,0,1
GH001,ASV1210,0,0,0,0,1
GH001,ASV1212,0,0,0,0,1
GH001,ASV1224,0,0,0,0,1
GH001,ASV1228,0,0,0,0,1
GH001,ASV1232,0,0,0,0,1
GH001,ASV1235,0,0,0,0,0
GH001,ASV1237,0,0,0,0,1
GH001,ASV1241,0,0,0,0,1
GH001,ASV1244,0,0,0,0,0
GH001,ASV1246,1,246,1,0,1
GH001,ASV1249,0,0,0,0,1
GH001,ASV1258,0,0,0,0,1
GH001,ASV1261,0,0,0,0,0
GH001,ASV1262,0,0,0,0,1
GH001,ASV1263,0,0,0,0,0
GH001,ASV1271,0,0,0,0,0
GH001,ASV1273,0,0,0,0,0
GH001,ASV1275,0,0,0,0,1
GH001,ASV1281,0,0,0,0,1
GH001,ASV1294,0,0,0,0,1
GH001,ASV1305,0,0,0,0,0
GH001,ASV1308,0,0,0,0,0
GH001,ASV1310,0,0,0,0,1
GH001,ASV1316,0,0,0,0,1
GH001,ASV1317,1,636,1,0,0
GH001,ASV1318,0,0,0,0,0
GH001,ASV1324,0,0,0,0,1
GH001,ASV1329,0,0,0,0,0
GH001,ASV1338,0,0,0,0,0
GH001,ASV1340,0,0,0,0,0
GH001,ASV1341,0,0,0,0,0
GH001,ASV1345,0,0,0,0,1
GH001,ASV1349,0,0,0,0,1
GH001,ASV1362,0,0,0,0,0
GH001,ASV1363,0,0,0,0,1
GH001,ASV1377,0,0,0,0,1
GH001,ASV1379,0,0,0,0,1
GH001,ASV1381,0,0,0,0,1
GH001,ASV1392,0,0,0,0,0
GH001,ASV1394,0.4506879702381355,107,1,0,1
GH001,ASV1401,0,0,0,0,0
GH001,ASV1403,0,0,0,0,1
GH001,ASV1413,0,0,0,0,0
GH001,ASV1414,0,0,0,0,1
GH001,ASV1415,0,0,0,0,0
GH001,ASV1419,0,0,0,0,0
GH001,ASV1420,0,0,0,0,0
GH001,ASV1428,0,0,0,0,0
GH001,ASV1429,0,0,0,0,0
GH001,ASV1430,0,0,0,0,1
GH001,ASV1436,0,0,0,0,0
GH001,ASV1455,0,0,0,0,1
GH001,ASV1460,0,0,0,0,0
GH001,ASV1465,0,0,0,0,1
GH001,ASV1468,0,0,0,0,1
GH001,ASV1474,0,0,0,0,0
GH001,ASV1475,0.3384647101356829,109,1,0,0
GH001,ASV1476,0,0,0,0,0
GH001,ASV1477,0,0,0,0,0
