sample_id,query,asv_read_index,asv_read_raw,asv_pa,kingdom,metazoa_terrestrial
GH001,ASV136,0,0,0,Metazoa,0
GH001,ASV137,0,0,0,Metazoa,0
GH001,ASV138,0,0,0,NA,0
GH001,ASV139,0,0,0,Metazoa,0
GH001,ASV140,0,0,0,Metazoa,0
GH001,ASV141,0,0,0,Metazoa,0
GH001,ASV142,0,0,0,Metazoa,0
GH001,ASV143,0,0,0,Metazoa,0
GH001,ASV144,0,0,0,Metazoa,0
GH001,ASV145,0,0,0,Metazoa,0
GH001,ASV146,0,0,0,Metazoa,0
GH001,ASV147,0,0,0,Metazoa,0
GH001,ASV148,0,0,0,Metazoa,0
GH001,ASV149,0,0,0,Metazoa,0
GH001,ASV150,0,0,0,Metazoa,0
GH001,ASV151,0,0,0,Metazoa,0
GH001,ASV152,0,0,0,Metazoa,0
GH001,ASV153,0,0,0,Metazoa,0
GH001,ASV154,0,0,0,Metazoa,0
GH001,ASV155,0,0,0,Metazoa,1
GH001,ASV156,0,0,0,Metazoa,0
GH001,ASV157,0,0,0,Metazoa,0
GH001,ASV158,0,0,0,Metazoa,0
GH001,ASV159,0,0,0,Metazoa,0
GH001,ASV160,0,0,0,Metazoa,0
GH001,ASV161,0,0,0,Metazoa,0
GH001,ASV162,0,0,0,Metazoa,0
GH001,ASV163,0,0,0,Metazoa,0
GH001,ASV164,0,0,0,Metazoa,0
GH001,ASV165,0,0,0,Metazoa,0
GH001,ASV166,0,0,0,NA,0
GH001,ASV167,1,1821,1,Metazoa,0
GH001,ASV168,0,0,0,Metazoa,0
GH001,ASV169,0,0,0,Metazoa,0
GH001,ASV170,0,0,0,Metazoa,0
GH001,ASV171,0,0,0,NA,0
GH001,ASV172,0,0,0,Metazoa,0
GH001,ASV173,0,0,0,Metazoa,0
GH001,ASV174,0,0,0,Metazoa,0
GH001,ASV175,0,0,0,Metazoa,0
GH001,ASV176,0,0,0,Metazoa,0
GH001,ASV177,0,0,0,Metazoa,0
GH001,ASV178,0,0,0,Metazoa,0
GH001,ASV179,0,0,0,Metazoa,0
GH001,ASV180,0,0,0,Metazoa,0
GH001,ASV181,0,0,0,Metazoa,0
GH001,ASV182,0,0,0,Metazoa,0
GH001,ASV183,0,0,0,Metazoa,0
GH001,ASV184,0,0,0,Metazoa,0
GH001,ASV185,0,0,0,Metazoa,1
GH001,ASV186,0,0,0,Metazoa,0
GH001,ASV187,0,0,0,NA,0
GH001,ASV188,0,0,0,Metazoa,0
GH001,ASV189,0,0,0,Metazoa,0
GH001,ASV190,0,0,0,Metazoa,0
GH001,ASV191,0,0,0,Metazoa,0
GH001,ASV192,0,0,0,Metazoa,0
GH001,ASV193,0,0,0,Metazoa,0
GH001,ASV194,0,0,0,Metazoa,0
